n,time,maxDepth,comparisons
10000,1880300,10,98074
5,9500,0,8
10000,2609400,10,127146

5,12600,0,8
1000,1003600,6,10473
2000,1653600,7,22782
4000,650000,8,49364
8000,1543100,9,106760
10000,2476400,10,127534
16000,4305801,10,229589
10000,5876000,10,127237
5,17200,0,8
1000,1394000,6,10473
2000,1503100,7,22782
4000,637501,8,49364
8000,1375400,9,106760
10000,1751800,10,127534
16000,3179301,10,229589
10000,1101701,10,127135
5,14201,0,8
1000,643200,6,10473
2000,914900,7,22782
4000,427700,8,49364
8000,897801,9,106760
10000,1157299,10,127534
16000,2217300,10,229589
10000,1060300,10,127076
